form	lemma	POS	morph
དགོད་པ་	དགོད་པ་	VERB
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
དང་	དང་	NO_POS
།		PUNCT
མེ་	མེ་	NOUN
རླུང་	རླུང་	NOUN
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱང་	ཀྱང་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
བཞིན་	བཞིན་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
བཤང་སྒོ་	བཤང་སྒོ་	NO_POS
འི་	གི་	PART
རླུང་	རླུང་	NOUN
གཙུབས་པ་	གཙུབས་པ་	NO_POS
ས་	གིས་	PART
སུམ་མདོ་	སུམ་མདོ་	NO_POS
འི་	གི་	PART
མེ་	མེ་	NOUN
སྦ་	སྦ་	PROPN
ར་	ལ་	PART
ཏེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ལྟེ་བ་	ལྟེ་བ་	NOUN
འི་	གི་	PART
ཨཾ་		NON_WORD
སྦར་བ་	སྦར་བ་	VERB
ནི་	ནི་	NO_POS
ལྟེ་བ་	ལྟེ་བ་	NOUN
ར་	ལ་	PART
གཏུམ་མོ་	གཏུམ་མོ་	NOUN
སྦ་	སྦ་	PROPN
ར་	ལ་	PART
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
ཨཾ་		NON_WORD
ནི་	ནི་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
རྟོག་པ་	རྟོག་པ་	VERB
གསོད་པ་	གསོད་པ་	VERB
ས་	གིས་	PART
ཙནྜཱ་		NON_WORD
ལཱི་		NON_WORD
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
མེ་	མེ་	NOUN
དེ་	དེ་	DET
རྩ་	རྩ་	NUM
གཡའ་	གཡའ་	NOUN
ན་	ནས་	PART
སཽང་		NON_WORD
སྟེ་	སྟེ་	PART
