form	lemma	POS	morph
བདུན་པ་	བདུན་པ་	NUM
མངའ་	མངའ་	VERB
དབུལ་བ་	དབུལ་བ་	VERB
རྒྱས་པ་	རྒྱས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
རྟེན་	རྟེན་	NOUN
དེ་དག་	དེ་དག་	OTHER
ཞུ་བ་	ཞུ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
ལྷ་ཁང་	ལྷ་ཁང་	NOUN
དང་	དང་	NO_POS
།		PUNCT
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྔ་	སྔ་	NOUN
གྱི་	གི་	PART
དེ་	དེ་	DET
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ར་	ལ་	PART
བསམས་	བསམས་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སུ་	སུ་	ADP
པྲ་	པྲ་	NOUN
ཏིཥྛ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
ཡ་	ཡ་	NOUN
སྭཱ་		NON_WORD
ཧཱ་		NON_WORD
།		PUNCT
ཨོཾ་	ཨོཾ་	X
ཧཱུྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
བྷུ་		NON_WORD
ཁྃ་		NON_WORD
བཛྲཱྀ་		NON_WORD
བྷ་	བྷ་	NO_POS
ཝ་	ཝ་	OTHER
དྲྀ་		NON_WORD
ཌྷོ་		NON_WORD
ཏིཥྛ་		NON_WORD
བྷུ་		NON_WORD
ཁྃ་		NON_WORD
།		PUNCT
ཞེ་	ཅེས་	PART
ཚོགས་པ་	ཚོགས་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ཀྱིས་	གིས་	PART
བརྗོད་	བརྗོད་	VERB
ཅིང་	ཅིང་	PART
མེ་ཏོག་	མེ་ཏོག་	NOUN
གཏོ་	གཏོ་	VERB
ཞིང་	ཞིང་	SCONJ
མངའ་	མངའ་	VERB
དབུལ་	དབུལ་	NO_POS
།		PUNCT
ཡང་	ཀྱང་	PART
མཆོད་པ་	མཆོད་པ་	VERB
རྒྱས་པ་	རྒྱས་པ་	VERB
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
མངའ་	མངའ་	VERB
དབུལ་	དབུལ་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
མེ་ཏོག་	མེ་ཏོག་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
བདུད་རྩི་	བདུད་རྩི་	NOUN
དང་	དང་	NO_POS
ཡིད་	ཡིད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
དང་	དང་	NO_POS
ར་	ར་	NOUN
ཟུང་	ཟུང་	VERB
དང་བསྟོད་པ་	དང་བསྟོད་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
མངའ་	མངའ་	VERB
དབུལ་བ་	དབུལ་བ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
སྐུ་གཟུགས་	སྐུ་གཟུགས་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
དབུ་རྒྱན་	དབུ་རྒྱན་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
ལ་	ལ་	ADP
དྲིལ་བུ་	དྲིལ་བུ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
པུ་སྟི་	པུ་སྟི་	NO_POS
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
གླེགས་ཤིང་	གླེགས་ཤིང་	NO_POS
སྐ་རགས་	སྐ་རགས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
ཐུན་མོང་	ཐུན་མོང་	ADJ
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ན་བཟའ་	ན་བཟའ་	NOUN
དང་	དང་	NO_POS
གདུགས་	གདུགས་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
།		PUNCT
ཅི་	ཅི་	NO_POS
འབྱོར་པ་	འབྱོར་པ་	NOUN
འི་	གི་	PART
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
མངའ་	མངའ་	VERB
དབུལ་	དབུལ་	NO_POS
ཞིང་	ཞིང་	SCONJ
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
།།		PUNCT
མཇུག་	མཇུག་	NOUN
ལ་	ལ་	ADP
འང་	ཀྱང་	PART
བདུན་	བདུན་	NUM
།		PUNCT
རྟེན་	རྟེན་	NOUN
བཞུགས་པ་	བཞུགས་པ་	VERB
ར་	ལ་	PART
སྤྱན་	སྤྱན་	NOUN
དྲང་	དྲང་	VERB
དུ་	ལ་	PART
བཏུབ་པ་	བཏུབ་པ་	NON_WORD
རྣམས་	རྣམས་	DET
སྤྱན་	སྤྱན་	NOUN
དྲངས་པ་	དྲངས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
བསྒོ་བ་	བསྒོ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཡོན་བདག་	ཡོན་བདག་	NOUN
ལ་	ལ་	ADP
གཏད་	གཏད་	VERB
དེ་	དེ་	DET
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
བསྒོ་བ་	བསྒོ་བ་	VERB
དང་	དང་	NO_POS
༑		PUNCT
བཀྲ་ཤིས་པ་	བཀྲ་ཤིས་པ་	NOUN
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ས་	གིས་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
བཀྲ་ཤིས་པ་	བཀྲ་ཤིས་པ་	NOUN
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཞིང་	ཞིང་	SCONJ
།		PUNCT
ཆོ་ག་	ཆོ་ག་	NOUN
ལྷག་ཆད་	ལྷག་ཆད་	NOUN
བསྐང་བ་	བསྐང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཡོན་	ཡོན་	NOUN
བླང་བ་	བླང་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
རྗེས་	རྗེས་	NOUN
བསྡུ་	བསྡུ་	VERB
ཞིང་	ཞིང་	SCONJ
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
བྱ་བ་	བྱ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
རྟོགས་	རྟོགས་	VERB
སླ་	སླ་	VERB
འོ་	གོ་	PART
། །		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ནི་	ནི་	NO_POS
གཏོར་མ་	གཏོར་མ་	NOUN
རྒྱ་ཆེན་པོ་	རྒྱ་ཆེན་པོ་	ADJ
བཤམས་	བཤམས་	NO_POS
ལ་	ལ་	ADP
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
རྣམས་	རྣམས་	DET
